metric	value
status	ok
reason_code	
edge_window_bp	6
depth_positions_total	60
depth_positions_expected	60
depth_unique_positions_in_range	60
depth_missing_positions	0
depth_duplicate_rows	0
depth_out_of_range_rows	0
depth_profile_complete	1
mean_depth_first_edge	10.0
mean_depth_first_edge_denominator_positions	6
mean_depth_first_edge_status	ok
mean_depth_first_edge_reason_code	
mean_depth_last_edge	0.0
mean_depth_last_edge_denominator_positions	6
mean_depth_last_edge_status	ok
mean_depth_last_edge_reason_code	
mean_depth_interior	2.917
mean_depth_interior_denominator_positions	48
mean_depth_interior_status	ok
mean_depth_interior_reason_code	
upstream_heteroplasmy_status	ok
upstream_heteroplasmy_reason_code	
candidate_table_present	1
candidate_evidence_trusted	1
candidate_sites_total	1
candidate_edge_fraction_denominator_positions	1
candidate_sites_in_edges	0
candidate_edge_fraction	0.0
candidate_edge_fraction_status	ok
candidate_edge_fraction_reason_code	
primary_read_rows	10
primary_read_start_in_edge_fraction_denominator_reads	10
primary_read_start_in_edge_fraction	1.0
primary_read_start_in_edge_fraction_status	ok
primary_read_start_in_edge_fraction_reason_code	
primary_read_end_in_edge_fraction_denominator_reads	10
primary_read_end_in_edge_fraction	0.0
primary_read_end_in_edge_fraction_status	ok
primary_read_end_in_edge_fraction_reason_code	
edge_read_heavy_softclip_fraction_denominator_reads	10
edge_read_heavy_softclip_fraction	0.0
edge_read_heavy_softclip_fraction_status	ok
edge_read_heavy_softclip_fraction_reason_code	
