metric	value
status	not_evaluable
status_detail	shared-spanning-read conditional co-segregation requires at least two selected sites
reason_code	fewer_than_two_selected_sites
method	alt_read_set_jaccard_conditioned_on_shared_spanning_reads
conditional_universe	filtered_reads_spanning_both_sites
jaccard_alt_compatibility_alias_of	alt_jaccard_within_shared_spanning_reads
selected_sites	1
pairwise_edges_meeting_shared_threshold	0
reads_with_any_selected_site_coverage	10
min_shared_reads_threshold	25
top_sites_limit	8
strongest_pair	NA
strongest_pair_alt_jaccard_within_shared_spanning_reads	NA
strongest_pair_jaccard_alt	NA
allele_counting_method	pysam_pileup_shared_filter_v1
allele_min_base_quality	13
allele_min_mapping_quality	20
allele_min_read_mean_quality	10.0
allele_max_depth	0
allele_exclude_flags	3844
allele_ignore_overlaps	1
pileup_observations_seen	10
accepted_observations	10
excluded_observations	0
excluded_flag	0
excluded_mapping_quality	0
excluded_read_quality	0
excluded_missing_read_quality	0
excluded_base_quality	0
excluded_deletion_or_refskip	0
excluded_missing_base	0
excluded_noncanonical_base	0
excluded_overlap	0
excluded_max_depth	0
unique_reads_seen	10
unique_reads_accepted	10
unique_reads_with_any_exclusion	0
unique_reads_excluded_flag	0
unique_reads_excluded_mapping_quality	0
unique_reads_excluded_read_quality	0
unique_reads_excluded_missing_read_quality	0
unique_reads_excluded_base_quality	0
unique_reads_excluded_deletion_or_refskip	0
unique_reads_excluded_missing_base	0
unique_reads_excluded_noncanonical_base	0
unique_reads_excluded_overlap	0
unique_reads_excluded_max_depth	0
