metric	value
status	ok
reason_code	
upstream_heteroplasmy_status	ok
upstream_heteroplasmy_reason_code	
sample_label	mito_phymer_consensus
best_haplogroup	H1a1
best_score	0.982
major_variant_sites_used	1
phymer_callable_positions	20
phymer_total_positions	60
phymer_callable_fraction	0.333333
phymer_masked_positions	40
phymer_noncanonical_reference_positions	0
phymer_min_depth	2
phymer_min_callable_fraction	0.3
phymer_mode	fixture
phymer_vendor_provenance	bundled_exact_hash_fixture
phymer_fixture_id	mito-overview-phymer-wiring-v1
phymer_result_scope	synthetic_wiring_fixture
biological_validation_status	not_applicable
phymer_python_compatibility	not_required
phymer_resource_binding_status	verified
phymer_script_sha256	1f5231e6958ffd731c4c644aa69168824126c251f8b8129b74c47f87a68cbb22
phymer_library_sha256	8bd377e62052ec9145c7078fa0dd85eb071aa7977bd225baa6ede87031fea968
phymer_definitions_sha256	fd1d9412344b5f8a2ab878feddc6c204069ada56ee97d5982cb605cdff36f05c
phymer_library	PhyloTree_b16_k12.txt
major_variant_threshold	callable_depth>=2;vaf>=0.2
