metric	value
status	ok
reason_code	
positions_tested	60
callable_positions	20
uncallable_positions	40
candidate_evaluable_positions	20
candidate_non_evaluable_positions	40
candidate_evaluable_fraction	0.333333
candidate_coverage_scope	partial
whole_mtdna_zero_candidate_interpretation_status	not_applicable_candidates_observed
candidate_sites	1
min_callable_depth	2
min_alt_allele_fraction	0.2
sites_alt_fraction_ge_0.10	1
sites_alt_fraction_ge_0.05	1
sites_alt_fraction_ge_0.02	1
max_alt_allele_fraction	0.3
skipped_noncanonical_candidates	0
allele_counting_method	pysam_pileup_shared_filter_v1
allele_min_base_quality	13
allele_min_mapping_quality	20
allele_min_read_mean_quality	10.0
allele_max_depth	0
allele_exclude_flags	3844
allele_ignore_overlaps	1
pileup_observations_seen	200
accepted_observations	200
excluded_observations	0
excluded_flag	0
excluded_mapping_quality	0
excluded_read_quality	0
excluded_missing_read_quality	0
excluded_base_quality	0
excluded_deletion_or_refskip	0
excluded_missing_base	0
excluded_noncanonical_base	0
excluded_overlap	0
excluded_max_depth	0
unique_reads_seen	10
unique_reads_accepted	10
unique_reads_with_any_exclusion	0
unique_reads_excluded_flag	0
unique_reads_excluded_mapping_quality	0
unique_reads_excluded_read_quality	0
unique_reads_excluded_missing_read_quality	0
unique_reads_excluded_base_quality	0
unique_reads_excluded_deletion_or_refskip	0
unique_reads_excluded_missing_base	0
unique_reads_excluded_noncanonical_base	0
unique_reads_excluded_overlap	0
unique_reads_excluded_max_depth	0
