metric	value
status	ok
reason_code	
mapped_reads	10
primary_reads	10
primary_full_length_reads	
primary_full_length_fraction	
primary_full_length_fraction_status	not_applicable
primary_full_length_fraction_reason_code	read_mode_short
primary_full_length_fraction_denominator	
primary_full_length_fraction_basis	aligned_reference_bases_excluding_cigar_D_N
full_length_fraction	
full_length_fraction_compatibility_alias_of	primary_full_length_fraction
supplementary_reads	0
secondary_reads	0
mean_depth	3.333
median_depth	0.0
breadth_1x	0.3333
breadth_10x	0.3333
high_query_alignment_fraction	1.0
forward_reads	10
reverse_reads	0
