metric	value
status	ok
reference_scope	mt_only
numt_interpretation_status	not_evaluable
reason_code	reference_scope_mt_only
missing_required_read_columns	none
missing_required_summary_metrics	none
primary_indicator_valid	1
primary_evidence_available	1
reads_evaluated	10
primary_alignment_records	10
primary_full_length_reads	0
low_mapq_fraction_lt20	0.0
very_low_mapq_fraction_lt5	0.0
short_aligned_fraction_lt0.5_mt	1.0
heavy_softclip_fraction_gt0.2	0.0
sa_tag_fraction	0.0
supplementary_fraction_all_reads	0.0
primary_full_length_fraction	0.0
primary_full_length_fraction_denominator	primary_alignment_records
primary_full_length_fraction_source	mito_read_stats_primary_alignment_records
primary_full_length_fraction_basis	aligned_reference_bases_excluding_cigar_D_N
primary_full_length_qc_crosscheck_status	ok
primary_full_length_qc_crosscheck_reason_code	
full_length_fraction	0.0
full_length_fraction_compatibility_alias_of	primary_full_length_fraction
heuristic_numt_risk	not_evaluable
heuristic_numt_risk_score	NA
