track	position	modification_code	strand	valid_coverage	percent_modified	modified_count	canonical_count	other_modified_count
NP_real_all_reads	1	m	+	10.0	70.0	7.0	3.0	0.0
NP_real_all_reads	10	m	+	10.0	30.0	3.0	7.0	0.0
HP1	1	m	+	10.0	70.0	7.0	3.0	0.0
HP1	10	m	+	10.0	30.0	3.0	7.0	0.0
HP2	1	m	+	10.0	70.0	7.0	3.0	0.0
HP2	10	m	+	10.0	30.0	3.0	7.0	0.0
Ungrouped	1	m	+	10.0	70.0	7.0	3.0	0.0
Ungrouped	10	m	+	10.0	30.0	3.0	7.0	0.0
Phased_proxy_all_reads	1	m	+	30.0	70.0	21.0	9.0	0.0
Phased_proxy_all_reads	10	m	+	30.0	30.0	9.0	21.0	0.0
